id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-10-31 16:13:35,"{""short_code"":""CkiNfC"",""original_url"":""https://opswise.net/proud/uplink/1""}"
2,2,38,created,2025-12-25 05:45:54,"{""short_code"":""crWdRu"",""original_url"":""https://example.com/dawn/uplink/2""}"
3,3,111,created,2025-01-09 11:18:57,"{""short_code"":""cC7MTI"",""original_url"":""https://seeded.app/silver/island/3""}"
4,4,300,created,2025-03-04 04:34:41,"{""short_code"":""E3MMtG"",""original_url"":""https://seeded.app/dawn/beacon/4""}"
5,5,325,created,2025-12-14 15:19:42,"{""short_code"":""DAzTW0"",""original_url"":""https://seeded.app/quiet/trail/5""}"
6,6,34,created,2026-02-18 09:06:10,"{""short_code"":""rWbxli"",""original_url"":""https://relay.cloud/young/zenith/6""}"
7,7,5,created,2025-03-31 22:00:39,"{""short_code"":""wR9Oye"",""original_url"":""https://opswise.net/ivory/orbit/7""}"
8,8,345,created,2025-07-20 13:42:35,"{""short_code"":""RckwR9"",""original_url"":""https://seeded.app/young/beacon/8""}"
9,9,255,created,2025-06-09 18:02:58,"{""short_code"":""Ylmyog"",""original_url"":""https://seeded.app/brisk/field/9""}"
10,10,33,created,2025-09-06 14:45:52,"{""short_code"":""DBj29Q"",""original_url"":""https://example.com/harbor/delta/10""}"
11,11,215,created,2025-11-17 05:36:20,"{""short_code"":""4eaevy"",""original_url"":""https://seeded.app/calm/island/11""}"
12,12,164,created,2025-01-14 23:15:07,"{""short_code"":""YWbqC1"",""original_url"":""https://relay.cloud/ivory/zenith/12""}"
13,13,251,created,2025-11-14 19:27:53,"{""short_code"":""xt3SFK"",""original_url"":""https://relay.cloud/calm/journey/13""}"
14,14,298,created,2025-09-09 23:29:20,"{""short_code"":""umBCDq"",""original_url"":""https://hackstack.io/forest/pioneer/14""}"
15,15,198,created,2025-05-17 23:16:25,"{""short_code"":""gSa891"",""original_url"":""https://relay.cloud/brisk/zenith/15""}"
16,16,48,created,2025-10-25 06:57:30,"{""short_code"":""V53zB9"",""original_url"":""https://seeded.app/clear/zenith/16""}"
17,17,7,created,2026-01-25 22:34:29,"{""short_code"":""AOEZL3"",""original_url"":""https://opswise.net/ember/trail/17""}"
18,18,351,created,2026-01-17 03:18:56,"{""short_code"":""EJgwQQ"",""original_url"":""https://relay.cloud/lively/quartz/18""}"
19,19,45,created,2025-01-15 23:13:44,"{""short_code"":""rP7P2G"",""original_url"":""https://relay.cloud/ivory/island/19""}"
20,20,242,created,2025-10-26 13:15:01,"{""short_code"":""sw7edU"",""original_url"":""https://seeded.app/opal/anchor/20""}"
21,21,160,created,2025-12-11 00:34:17,"{""short_code"":""GRjxmh"",""original_url"":""https://acme.dev/silver/valley/21""}"
22,22,172,created,2025-07-22 06:03:02,"{""short_code"":""aTKJGo"",""original_url"":""https://acme.dev/harbor/harvest/22""}"
23,23,184,created,2025-08-09 20:09:55,"{""short_code"":""9rYIJB"",""original_url"":""https://acme.dev/gold/pioneer/23""}"
24,24,305,created,2026-01-07 12:07:05,"{""short_code"":""iaXM86"",""original_url"":""https://hackstack.io/proud/window/24""}"
25,25,228,created,2026-01-14 18:09:40,"{""short_code"":""iAZISW"",""original_url"":""https://hackstack.io/urban/field/25""}"
26,26,394,created,2025-07-05 07:30:07,"{""short_code"":""gUm9Ub"",""original_url"":""https://example.com/quiet/yard/26""}"
27,27,366,created,2025-07-07 18:40:50,"{""short_code"":""CgoAZ9"",""original_url"":""https://opswise.net/opal/lagoon/27""}"
28,28,300,created,2026-02-12 07:38:08,"{""short_code"":""JnChbl"",""original_url"":""https://example.com/clear/window/28""}"
29,29,119,created,2026-01-03 09:28:58,"{""short_code"":""nqguuZ"",""original_url"":""https://acme.dev/keen/network/29""}"
30,30,151,created,2025-08-06 22:08:09,"{""short_code"":""7lJKnQ"",""original_url"":""https://example.com/calm/engine/30""}"
31,31,263,created,2025-10-22 18:31:30,"{""short_code"":""Q83Kwo"",""original_url"":""https://opswise.net/dawn/valley/31""}"
32,32,29,created,2026-01-07 15:08:08,"{""short_code"":""M1WZJ2"",""original_url"":""https://relay.cloud/quiet/yard/32""}"
33,33,156,created,2025-09-10 22:54:01,"{""short_code"":""WKKZQR"",""original_url"":""https://opswise.net/forest/orbit/33""}"
34,34,127,created,2025-09-16 00:08:34,"{""short_code"":""VTQw18"",""original_url"":""https://example.com/opal/network/34""}"
35,35,284,created,2025-01-06 05:26:29,"{""short_code"":""wo22cK"",""original_url"":""https://relay.cloud/cobalt/quartz/35""}"
36,36,368,created,2025-02-23 00:10:17,"{""short_code"":""2NDUwG"",""original_url"":""https://hackstack.io/dawn/canyon/36""}"
37,37,353,created,2025-08-14 09:34:10,"{""short_code"":""A9vY1e"",""original_url"":""https://example.com/cobalt/garden/37""}"
38,38,272,created,2026-02-11 19:53:36,"{""short_code"":""teInZa"",""original_url"":""https://acme.dev/cobalt/quartz/38""}"
